date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:33	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2013%20Jan%202022%2008:47:32%20GMT	https://clinlabstaffing.com/robots.txt		(from )
09:47:34	91265/91265	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2008:47:33%20GMT	https://clinlabstaffing.com/	C:/My%20Web%20Sites/job/clinlabstaffing.com/index.html	(from )
09:47:35	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2013%20Jan%202022%2008:47:34%20GMT	https://clinlabstaffing.com/xmlrpc.php	C:/My%20Web%20Sites/job/clinlabstaffing.com/xmlrpc.php	(from https://clinlabstaffing.com/)
09:47:36	80574/80574	---MCZ	200	added ('OK')	text/css	etag:W/%22612efc26-13abe%22	https://clinlabstaffing.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/My%20Web%20Sites/job/clinlabstaffing.com/wp-includes/css/dist/block-library/style.min080f.css	(from https://clinlabstaffing.com/)
09:47:36	39436/39436	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22ab5f5d4d83780434dae3c1ace6ddf8f2-gzip%22	https://clinlabstaffing.com/feed/	C:/My%20Web%20Sites/job/clinlabstaffing.com/feed/index.html	(from https://clinlabstaffing.com/)
09:47:38	9922/9922	---MCZ	200	added ('OK')	text/css	etag:W/%2260350e04-26c2%22	https://clinlabstaffing.com/wp-content/themes/clinlab/blog/css/blog.css?ver=5.8.2	C:/My%20Web%20Sites/job/clinlabstaffing.com/wp-content/themes/clinlab/blog/css/blog080f.css	(from https://clinlabstaffing.com/)
09:47:38	792437/792437	---MCZ	200	added ('OK')	text/css	etag:W/%2260350df4-c1775%22	https://clinlabstaffing.com/wp-content/themes/Divi/style.css?ver=5.8.2	C:/My%20Web%20Sites/job/clinlabstaffing.com/wp-content/themes/Divi/style080f.css	(from https://clinlabstaffing.com/)
09:47:38	774/774	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e0166a5ddf1edac1de968b72034e628b-gzip%22	https://clinlabstaffing.com/comments/feed/	C:/My%20Web%20Sites/job/clinlabstaffing.com/comments/feed/index.html	(from https://clinlabstaffing.com/)
09:47:38	45474/45474	---MCZ	200	added ('OK')	text/css	etag:W/%2260350df4-b1a2%22	https://clinlabstaffing.com/wp-content/themes/clinlab/css/aux-styles.css?ver=5.8.2	C:/My%20Web%20Sites/job/clinlabstaffing.com/wp-content/themes/clinlab/css/aux-styles080f.css	(from https://clinlabstaffing.com/)
09:47:39	26335/26335	---MCZ	200	added ('OK')	text/css	etag:W/%2260350df4-66df%22	https://clinlabstaffing.com/wp-content/themes/clinlab/aux-styles2.css?ver=5.8.2	C:/My%20Web%20Sites/job/clinlabstaffing.com/wp-content/themes/clinlab/aux-styles2080f.css	(from https://clinlabstaffing.com/)
09:47:39	12838/12838	---MCZ	200	added ('OK')	text/css	etag:W/%2260350df4-3226%22	https://clinlabstaffing.com/wp-content/themes/clinlab/style.css?ver=4.4.1	C:/My%20Web%20Sites/job/clinlabstaffing.com/wp-content/themes/clinlab/stylea94e.css	(from https://clinlabstaffing.com/)
09:47:39	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22603ffca6-e688%22	https://clinlabstaffing.com/wp-includes/css/dashicons.min.css?ver=5.8.2	C:/My%20Web%20Sites/job/clinlabstaffing.com/wp-includes/css/dashicons.min080f.css	(from https://clinlabstaffing.com/)
09:47:40	6057/6057	---MCZ	200	added ('OK')	text/css	etag:W/%22611d1401-17a9%22	https://clinlabstaffing.com/wp-content/plugins/team-members/inc/css/tmm_style.css?ver=5.8.2	C:/My%20Web%20Sites/job/clinlabstaffing.com/wp-content/plugins/team-members/inc/css/tmm_style080f.css	(from https://clinlabstaffing.com/)
09:47:40	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%226048e0ac-15db1%22	https://clinlabstaffing.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/job/clinlabstaffing.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://clinlabstaffing.com/)
